line_number,Category_Std,Category_Alt,Category_Cor,Genus,Species names
87,CR,CR,N,Alsophis,Alsophis antiguae sajdaki
90,CR,CR,N,Alsophis,Alsophis antillensis antillensis
89,CR,CR,N,Alsophis,Alsophis antillensis manselli
88,CR,CR,N,Alsophis,Alsophis antillensis sibonius
210,CR,CR,N,Alsophis,Alsophis danforthi
85,CR,CR,N,Alsophis,Alsophis rijgersmaei
86,CR,CR,N,Alsophis,Alsophis rufiventris
211,CR,CR,N,Alsophis,Alsophis sanctonum
212,CR,CR,N,Alsophis,Alsophis sibonius
94,CR,CR,N,Antillophis,Antillophis parvifrons
77,CON,CON,C,Apostolepis,Apostolepis albicolaris
213,CON,CON,C,Apostolepis,Apostolepis ambiniger
214,CON,CON,C,Apostolepis,Apostolepis ammodites
215,CON,CON,C,Apostolepis,Apostolepis arenaria
73,CON,CON,C,Apostolepis,Apostolepis assimilis
216,CON,CON,C,Apostolepis,Apostolepis breviceps
71,CON,CON,C,Apostolepis,Apostolepis cearensis
217,CON,CON,C,Apostolepis,Apostolepis cerradoensis
218,CON,CON,C,Apostolepis,Apostolepis christineae
219,CON,CON,C,Apostolepis,Apostolepis coronata
76,CON,CON,C,Apostolepis,Apostolepis dimidiata
220,CON,CON,C,Apostolepis,Apostolepis dorbignyi
75,CON,CON,C,Apostolepis,Apostolepis flavotorquata
221,CON,CON,N,Apostolepis,Apostolepis gaboi
222,CON,CON,C,Apostolepis,Apostolepis goiasensis
223,VEN,VEN,N,Apostolepis,Apostolepis intermedia
224,CR,CR,N,Apostolepis,Apostolepis longicaudata
225,CON,CON,C,Apostolepis,Apostolepis multicincta
226,CON,CON,C,Apostolepis,Apostolepis nelsonjorgei
227,CR,CR,N,Apostolepis,Apostolepis niceforoi
228,CR,CR,N,Apostolepis,Apostolepis nigrolineata
229,CON,CON,N,Apostolepis,Apostolepis nigroterminata
230,CON,CON,N,Apostolepis,Apostolepis phillipsae
231,CON,CON,N,Apostolepis,Apostolepis polylepis
232,CR,CR,N,Apostolepis,Apostolepis pymi
233,CON,CON,C,Apostolepis,Apostolepis quirogai
74,CR,CR,N,Apostolepis,Apostolepis rondoni
72,CON,CON,C,Apostolepis,Apostolepis sanctaeritae
234,CON,CON,N,Apostolepis,Apostolepis serrana
235,CON,CON,N,Apostolepis,Apostolepis striata
236,CON,CON,N,Apostolepis,Apostolepis tenuis
237,CON,CON,N,Apostolepis,Apostolepis vittata
238,CR,CR,N,Arrhyton,Arrhyton ainictum
82,CR,CR,N,Arrhyton,Arrhyton dolichura
81,CR,CR,N,Arrhyton,Arrhyton landoi
84,CR,CR,N,Arrhyton,Arrhyton procerum
239,CR,CR,N,Arrhyton,Arrhyton redimitum
79,CR,CR,N,Arrhyton,Arrhyton supernum
78,CR,CR,N,Arrhyton,Arrhyton taeniatum
83,CR,CR,N,Arrhyton,Arrhyton tanyplectum
80,CR,CR,N,Arrhyton,Arrhyton vittatum
240,CR,CR,N,Atractus,Atractus acheronius
40,CR,CR,N,Atractus,Atractus albuquerquei
241,CON+VEN,CON+VEN,N,Atractus,Atractus alphonsehogei
242,CON,CON,N,Atractus,Atractus altagratiae
244,CR,CR,N,Atractus,Atractus apophis
246,CON,CON,NA,Atractus,Atractus atratus
,CR,CR,N,Atractus,Atractus atratus
248,CON,CON,N,Atractus,Atractus avernus
37,CON,CON,C,Atractus,Atractus badius
250,CR,CR,N,Atractus,Atractus balzani
252,CON,CON,C,Atractus,Atractus bocki
253,CR,CR,N,Atractus,Atractus bocourti
255,CON,CON,C,Atractus,Atractus boulengerii
256,CR,CR,N,Atractus,Atractus caete
257,CR,CR,N,Atractus,Atractus carrioni
258,CON,CON,N,Atractus,Atractus caxiuana
260,CR,CR,N,Atractus,Atractus chthonius
261,CON,CON,C,Atractus,Atractus clarki
262,CON+VEN,CON+VEN,N,Atractus,Atractus collaris
