genus,species,readable
Alsophis,antiguae,Al_antiguae_sajdaki
Alsophis,antillensis,Al_antillensis
Alsophis,antillensis,Al_manselli
Alsophis,antillensis,Al_sibonius
Alsophis,rijgersmaei,Al_rijgersmaei
Alsophis,rufiventris,Al_rufiventris
Antillophis,parvifrons,An_parvifrons
Apostolepis,albicolaris,Ap_albicolaris
Apostolepis,assimilis,Ap_assimilis
Apostolepis,cearensis,Ap_cearensis
Apostolepis,dimidiata,Ap_dimidiata
Apostolepis,flavotorquata,Ap_flavotorquata
Apostolepis,rondoni,Ap_rondoni
Apostolepis,sanctaeritae,Ap_sanctaeritae
Arrhyton,dolichura,Ar_dolichura
Arrhyton,landoi,Ar_landoi
Arrhyton,procerum,Ar_procerum
Arrhyton,supernum,Ar_supernum
Arrhyton,taeniatum,Ar_taeniatum
Arrhyton,tanyplectum,Ar_tanyplectum
Arrhyton,vittatum,Ar_vittatum
Atractus,albuquerquei,At_albuquerquei
Atractus,badius,At_badius
Atractus,flammigerus,At_flammigerus
Atractus,reticulatus,At_reticulatus
Atractus,schach,At_schach
Atractus,trihedrurus,At_trihedrurus
Atractus,zebrinus,At_zebrinus
Atractus,zidocki,At_zidocki
Boiruna,maculata,Bo_maculata
Borikenophis,portoricensis,Al_portoricensis_por
Borikenophis,prymnus,Al_portoricensis_pry
Borikenophis,variegatus,Al_variegatus
Caaeteboia,amarali,Li_amarali
Calamodontophis,paucidens,Ca_paucidens
Caraiba,andreae,An_andreae
Carphophis,amoenus,Ca_amoenus
Clelia,clelia,Cl_clelia
Clelia,rustica,Cl_rustica
Conophis,lineatus,Co_lineatus
Contia,tenuis,Co_tenuis
Crisantophis,nevermanni,Cr_nevermanni
Cubophis,cantherigerus,Al_cantherigerus
Cubophis,caymanus,Al_caymanus
Cubophis,fuscicauda,Al_fuscicauda
Cubophis,ruttyi,Al_ruttyi
Cubophis,vudii,Al_vudii
Darlingtonia,haetiana,Da_haetiana
Diadophis,punctatus,Di_punctatus
Dipsas,albifrons,Di_albifrons
Dipsas,articulata,Di_articulata
Dipsas,catesbyi,Di_catesbyi
Dipsas,indica,Di_indica
Dipsas,neivai,Di_neivai
Dipsas,variegata,Di_variegata
Drepanoides,anomalus,Dr_anomalus
Echinanthera,melanostigma,Ec_melanostigma
Echinanthera,undulata,Ec_undulata
Elapomorphus,quinquelineatus,El_quinquelineatus
Erythrolamprus,aesculapii,Er_aesculapii
Erythrolamprus,almadensis,Li_almadensis
Erythrolamprus,atraventer,Li_atraventer
Erythrolamprus,breviceps,Li_breviceps
Erythrolamprus,ceii,Li_ceii
Erythrolamprus,epinephelus,Li_epinephelus
Erythrolamprus,jaegeri,Li_jaegeri
Erythrolamprus,juliae,Li_juliae
Erythrolamprus,miliaris,Li_miliaris
Erythrolamprus,mimus,Er_mimus
Erythrolamprus,poecilogyrus,Li_poecilogyrus
Erythrolamprus,reginae,Li_reginae
Erythrolamprus,typhlus,Li_typhlus
Farancia,abacura,Fa_abacura
Geophis,godmani,Ge_godmani
